,Country,html_file,Longitude,Latitude
0,Algeria,fig0.html,2.9999825,28.0000272
1,Burundi,fig1.html,29.9324519,-3.426449
2,Benin,fig2.html,2.2584408,9.5293472
3,Central African Republic,fig3.html,19.9981227,7.0323598
4,Congo,fig4.html,23.8222636,-2.9814344
5,Egypt,fig5.html,29.2675469,26.2540493
6,Ethiopia,fig6.html,38.6521203,10.2116702
7,Gabon,fig7.html,11.6899699,-0.8999695
8,Gambia,fig8.html,-15.4900464,13.470062
9,Guinea,fig9.html,-10.7083587,10.7226226
10,Guinea-Bissau,fig10.html,-14.9000214,12.100035
11,Ivory Coast,fig11.html,-5.5679458,7.9897371
12,Kenya,fig12.html,38.4313975,1.4419683
13,Morocco,fig13.html,-7.3362482,31.1728205
14,Madagascar,fig14.html,46.4416422,-18.9249604
15,Mauritania,fig15.html,-9.2399263,20.2540382
16,Malawi,fig16.html,33.9301963,-13.2687204
17,Mozambique,fig17.html,34.9144977,-19.302233
18,Namibia,fig18.html,17.3231107,-23.2335499
19,Nigeria,fig19.html,7.9999721,9.6000359
20,Senegal,fig20.html,-14.4529612,14.4750607
21,Sierra Leone,fig21.html,-11.8400269,8.6400349
22,South Africa,fig22.html,24.991639,-28.8166236
23,Togo,fig23.html,1.0199765,8.7800265
24,Tunisia,fig24.html,9.400138,33.8439408
25,Tanzania,fig25.html,35.7878438,-6.5247123
26,Uganda,fig26.html,32.2166578,1.5333554
27,Zambia,fig27.html,27.5589884,-14.5189121
28,Bangladesh,fig28.html,90.2934413,24.4769288
29,China,fig29.html,104.999927,35.000074
30,Hong Kong,fig30.html,114.1628131,22.2793278
31,India,fig31.html,78.6677428,22.3511148
32,Indonesia,fig32.html,117.8902853,-2.4833826
33,Japan,fig33.html,139.2394179,36.5748441
34,Kazakhstan,fig34.html,65.2093197,47.2286086
35,Kyrgyzstan,fig35.html,74.724091,41.5089324
36,Laos,fig36.html,103.378253,20.0171109
37,Malaysia,fig37.html,102.2656823,4.5693754
38,Mongolia,fig38.html,103.8499736,46.8250388
39,Myanmar (Burma),fig39.html,95.9999652,17.1750495
40,Nepal,fig40.html,84.0917139,28.1083929
41,North Korea,fig41.html,127.0870417,40.3736611
42,Pakistan,fig42.html,71.247499,30.3308401
43,Philippines,fig43.html,122.7312101,12.7503486
44,Singapore,fig44.html,103.8194992,1.357107
45,South Korea,fig45.html,127.6961188,36.638392
46,Sri Lanka,fig46.html,80.7137847,7.5554942
47,Taiwan,fig47.html,120.9820179,23.9739374
48,Tajikistan,fig48.html,70.8156541,38.6281733
49,Thailand,fig49.html,100.83273,14.8971921
50,Turkmenistan,fig50.html,59.3924609,39.3763807
51,Uzbekistan,fig51.html,63.9528098,41.32373
52,Vietnam,fig52.html,108.4265113,13.2904027
53,Australia,fig53.html,134.755,-24.7761086
54,New Zealand,fig54.html,172.8344077,-41.5000831
55,Albania,fig55.html,19.9999619,41.000028
56,Austria,fig56.html,14.12456,47.59397
57,Belarus,fig57.html,27.6971358,53.4250605
58,Belgium,fig58.html,4.6667145,50.6402809
59,Bulgaria,fig59.html,25.4856617,42.6073975
60,Croatia,fig60.html,17.0118954,45.5643442
61,Cyprus,fig61.html,33.1451285,34.9823018
62,Czech Republic,fig62.html,15.4749544,49.8167003
63,Denmark,fig63.html,10.3333283,55.670249
64,Finland,fig64.html,25.9209164,63.2467777
65,France,fig65.html,1.8883335,46.603354
66,Germany,fig66.html,10.4234469,51.0834196
67,Georgia,fig67.html,-83.1137366,32.3293809
68,Greece,fig68.html,21.9877132,38.9953683
69,Hungary,fig69.html,19.5060937,47.1817585
70,Iceland,fig70.html,-18.1059013,64.9841821
71,Ireland,fig71.html,-7.9794599,52.865196
72,Italy,fig72.html,12.674297,42.6384261
73,Latvia,fig73.html,24.7537645,56.8406494
74,Macedonia,fig74.html,21.7168387,41.6171214
75,The Netherlands,fig75.html,5.541246849406163,52.24764975
76,Norway,fig76.html,9.0999715,60.5000209
77,Poland,fig77.html,19.134422,52.215933
78,Portugal,fig78.html,-7.8896263,40.0332629
79,Romania,fig79.html,24.6859225,45.9852129
80,Russia,fig80.html,97.7453061,64.6863136
81,Serbia-Montenegro,fig81.html,18.5377805,42.4516555
82,Slovakia,fig82.html,19.4528646,48.7411522
83,Spain,fig83.html,-4.8379791,39.3260685
84,Sweden,fig84.html,14.5208584,59.6749712
85,Switzerland,fig85.html,8.2319736,46.7985624
86,Ukraine,fig86.html,31.2718321,49.4871968
87,United Kingdom,fig87.html,-3.2765753,54.7023545
88,Yugoslavia,fig88.html,-81.52614194734898,23.04123655
89,Bahrain,fig89.html,50.5344606,26.1551249
90,Israel,fig90.html,34.8667654,31.5313113
91,Jordan,fig91.html,36.941628,31.1667049
92,Kuwait,fig92.html,47.4979476,29.2733964
93,Lebanon,fig93.html,35.843409,33.8750629
94,Oman,fig94.html,57.0036901,21.0000287
